Genes,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
NA4,516,384,102,1269,453,583,971,1598,964,152,248,118,178,133,142,218,137,143,208,172
NA5,3102,2600,2769,5839,4120,5284,5116,7500,6144,2836,3082,1351,2081,1545,2581,1534,1529,1555,1803,1513
NA7,273,286,1706,827,414,311,139,1053,233,393,690,206,704,286,362,966,349,341,322,216
NA20,2935,5111,202,737,5441,15800,1095,4256,1135,262,766,1390,2103,1464,475,2460,1185,716,337,1604
NA22,29,0,0,0,296,107,144,0,154,0,0,58,734,143,0,149,209,104,0,5
NA23,559,352,1204,91,1690,200,1190,922,500,925,537,262,247,213,848,188,216,195,547,201
NA28,583,1255,1015,1651,896,1461,679,1848,2968,1469,1917,913,1414,940,1764,1252,796,831,1871,915
NA29,5,6,3,72,24,34,54,95,7,17,176,18,95,61,113,42,81,80,58,87
A1BG,107,501,813,201,228,104,231,1080,319,93,486,37,346,53,290,301,109,186,280,31
A2LD1,66,259,67,205,658,983,448,317,133,362,376,297,240,295,297,281,243,175,173,207
A2ML1,2058,1448,49,397,1821,355,537,4388,592,328,53,19,44,19,52,65,15,62,56,45
A2M,17261,27934,24961,17794,24161,94014,386443,124255,46466,11949,126624,81222,86328,64860,86768,74110,61028,82893,72411,87792
A4GALT,284,1351,351,304,203,537,137,248,779,198,1976,1258,1066,872,2457,862,914,1742,968,1066
AAAS,1118,1306,862,2403,1464,1129,1541,4329,2073,611,2457,1081,1817,1139,2169,1746,1281,1229,1888,1170
AACS,1281,2117,517,1564,8186,4318,719,4124,4995,2073,3566,2455,4322,2568,5790,2208,1843,2075,5082,1396
AADAT,516,337,217,2791,4886,206,2206,980,457,372,185,109,252,148,667,215,170,116,164,155
AAGAB,1632,3528,971,3235,4306,5692,3229,4194,5673,1878,4564,1567,3061,1216,2866,3450,2691,2435,3076,1323
AAK1,1663,2162,691,2566,6112,6101,2435,1869,2216,1918,3046,2313,3268,3133,2203,3417,2685,2518,1480,2027
AAMP,4432,4452,2504,9684,4929,9102,3422,16506,14229,4282,8728,3599,5986,4543,6881,5891,3992,4516,7479,3884
AARS2,978,1430,752,2362,873,1974,772,2247,1673,1926,1527,488,1688,556,929,1118,483,882,1295,442
AARSD1,1157,1142,526,2379,823,1536,803,1650,2286,485,2182,780,1271,1046,1527,1277,1021,1106,1588,940
AARS,10571,14971,4526,13749,31648,24826,7973,20222,22774,6352,9649,5253,7834,8155,8545,6771,5778,6398,7017,6380
AASDHPPT,1533,1649,1132,2947,4100,4956,3309,5112,2872,2282,2064,1319,2776,1665,1761,2512,1527,1846,1773,1177
AASDH,402,325,666,554,1239,1370,476,1314,1226,377,992,485,1771,563,681,1184,621,998,760,619
AASS,191,225,435,131,353,1178,991,619,213,301,1867,1474,1944,2009,924,2403,1275,1275,323,1305
AATF,3025,5127,2723,5886,3288,4398,3780,4477,4496,3279,3587,1864,2446,1806,2767,2396,1771,1993,2694,2003
AATK,25,134,177,161,26,552,75,272,190,37,289,65,385,47,116,122,121,92,298,59
ABAT,168,252,262,278,1471,983,249,1526,100,331,3863,513,2633,498,1647,1562,1544,1817,2527,441
ABCA10,11,9,24,114,28,7,35,6,6,10,517,623,677,735,649,986,535,1292,136,480
ABCA11P,210,195,488,545,215,276,398,655,338,175,476,152,399,257,247,452,284,390,196,175
ABCA12,35,629,7,27,16200,750,343,13,7,734,614,6,446,5,746,315,21,32,648,9
ABCA1,1668,1131,626,481,3202,7204,1308,944,2864,618,2267,14274,3541,10867,4557,4786,6719,3011,660,6645
ABCA2,349,1681,1473,1768,1786,4288,669,1315,3100,612,3669,1900,5263,3677,4205,3036,3321,2214,4524,3194
ABCA3,4233,3113,1631,4743,15666,3155,1573,5270,7755,1004,4709,1555,4265,2511,5144,2698,2672,2272,3693,1834
ABCA4,30,41,185,342,3,300,769,119,10,236,484,48,125,59,106,189,91,170,80,15
ABCA5,411,479,698,3102,1987,1637,818,243,869,266,1974,1431,3295,2247,1602,2779,1895,1703,873,1854
ABCA6,69,120,38,53,482,380,176,269,69,114,1057,2541,1562,2094,1394,1328,1115,1615,140,2323
ABCA7,266,559,1198,353,742,416,184,695,567,220,1222,468,861,799,1275,764,370,476,1161,404
ABCA8,37,43,14,18,174,54,210,20,9,10,2436,9293,3409,9772,5256,3711,5402,4038,571,11420
ABCA9,24,65,22,68,334,142,118,35,18,24,1248,5345,1984,4383,2772,2073,3109,2560,288,4939
ABCB10,947,1640,1469,1904,3769,2247,1192,1987,1787,351,807,955,1466,1203,866,1384,983,932,592,736
ABCB1,110,73,22,49,108,235,177,196,38,48,1475,275,1069,141,406,1710,280,1214,871,405
ABCB5,0,10,2,4,7,6,122,5,1,1,305,156,92,101,363,313,75,373,22,110
ABCB6,1085,1092,1096,2573,3227,4074,1687,1834,2473,1778,1393,1647,1656,1811,2231,966,1137,1036,1814,1404
ABCB7,1122,1301,298,1093,828,2180,1363,2131,2911,1185,1635,1055,1894,1329,1386,1593,1013,1215,1128,1192
ABCB8,1234,961,1141,1894,2145,1024,586,2590,997,1210,1799,799,1067,855,1618,903,920,803,1961,769
ABCB9,306,873,171,962,177,3040,221,650,326,619,327,72,406,72,290,379,259,298,621,94
ABCC10,1432,1455,869,2396,991,3624,1047,2585,1641,1017,1151,530,1562,551,826,1010,581,864,1241,426
ABCC11,132,6,33,2,65142,433,4,13,4,16,1383,1,893,17,7637,798,69,62,3896,7
ABCC1,3519,3694,1319,4863,13331,7111,4433,7121,3506,1783,2909,4546,3877,2479,3799,2313,3288,2937,2314,2855
ABCC3,343,807,139,88,4191,1673,800,470,607,39,2031,454,1105,269,2876,1074,1129,568,1392,392
ABCC4,562,450,101,96,2546,1254,1635,3372,1486,54,435,445,353,173,532,382,292,204,250,223
ABCC5,2073,2347,1652,5274,751,4991,2769,5165,3459,455,2330,2257,3106,1084,1778,2402,1650,1799,1318,1163
ABCC6P2,8,24,206,62,495,66,52,54,5,42,72,23,59,100,163,49,101,89,47,139
ABCC6,7,58,159,148,1085,291,39,71,8,54,446,405,532,1583,1437,389,1131,921,563,1384
ABCC9,310,227,665,159,849,938,1098,82,238,253,845,6466,1322,7440,1357,2027,3355,2107,138,7066
ABCD1,2822,2305,1398,1159,2939,2077,1190,2833,2913,662,768,1573,821,2776,1738,574,881,562,775,1111
ABCD2,60,40,18,4,82,91,51,120,33,6,83,1198,485,4237,606,704,2062,591,32,2471
ABCD3,2289,3682,1723,6681,4054,9656,2226,9953,4460,2806,9468,1822,6748,2753,3262,5017,5708,4310,3281,2253
ABCD4,562,598,606,636,1660,1285,759,1402,1386,387,2489,1569,1876,1301,2019,1793,1043,1517,1556,1299
ABCE1,6088,4363,2904,4887,8625,10382,11246,13001,7743,2866,3973,2372,5748,2503,2793,4230,3175,3168,3043,2283
ABCF1,5799,7543,2909,6917,4288,13294,8297,11930,14847,3617,5085,2609,4789,3465,4461,4171,3156,3124,4181,3054
ABCF2,3605,3456,2395,5150,6357,5789,3547,10608,4774,4096,4461,2063,3453,2102,3196,2690,2307,2355,3488,2163
ABCF3,3295,3948,1100,6235,2647,6584,822,5303,5042,1956,3518,1370,2726,1930,2930,2532,1619,2012,3175,1852
ABCG1,692,881,593,754,2377,3890,723,1378,1727,926,1599,1840,1338,1326,1928,1874,2263,1297,2014,553
ABCG2,33,70,234,72,348,129,125,66,22,48,722,388,2190,214,477,488,230,511,369,287
ABHD10,1284,811,906,2108,1846,1314,3596,3141,2288,994,2038,1098,1997,1208,1769,2338,1331,1817,1366,1324
ABHD11,1890,1782,4991,2245,10195,2344,2310,5160,2740,2447,2158,330,1956,304,1598,1323,842,886,2345,296
ABHD12,2215,4388,2759,6317,7541,4475,3481,10222,5558,5577,3463,2895,2088,1645,3900,2469,2187,1838,2347,2051
ABHD13,640,806,526,3117,2841,5534,1764,2585,1100,549,1569,933,2048,979,1140,1756,1149,1476,822,751
ABHD14A,172,529,1310,522,458,513,639,523,402,275,1009,564,605,878,1202,611,557,616,859,769
ABHD14B,1472,2084,4036,1424,6728,4175,4318,1772,1878,1445,7044,5691,6804,7693,9232,5209,4802,5445,6464,6987
ABHD15,383,905,327,672,1727,1166,314,529,901,333,1135,2111,1193,4235,2310,1343,1567,1276,661,2996
ABHD1,7,42,33,24,6,56,99,51,96,46,83,106,56,177,95,87,64,59,31,82
ABHD2,4419,6928,1581,8605,6036,30442,7682,6406,11427,2976,6550,4987,12672,4885,6277,12059,8460,7078,4045,5387
ABHD3,1058,926,1821,1174,6126,1910,749,1102,1218,414,1076,846,735,932,1224,983,646,535,702,536
ABHD4,1258,2012,1654,4594,9416,3603,955,1390,3955,718,2742,2443,2457,2696,3260,2464,2164,1831,2235,4293
ABHD5,1352,2039,1403,3457,5642,2726,2210,3173,3760,3391,2887,2427,3155,4347,2376,2782,2365,2137,1892,3765
ABHD6,145,271,380,113,2416,494,175,212,217,110,542,956,678,1327,1145,701,599,990,419,1086
ABHD8,112,882,412,1014,383,981,404,2302,339,290,1046,263,877,256,741,526,306,365,791,265
ABI1,5257,3479,3079,5500,9249,8388,6146,7909,4437,2964,3707,2841,5097,2425,2992,5296,2823,3436,2798,2249
ABI2,1684,1755,1336,6064,1209,4998,8137,13595,12553,1138,4798,1545,8666,1704,2501,5531,2841,3796,3465,1273
ABI3BP,598,256,91,36,1521,902,1148,561,403,127,3388,16262,3092,4680,4991,3669,4173,4715,504,9948
ABI3,466,587,320,298,327,932,169,1234,381,167,1103,402,386,316,717,679,277,399,625,296
ABL1,3772,5228,2220,5609,4402,9121,3519,4414,4695,2281,7472,6152,9768,5908,7388,6960,5256,6111,5664,5722
ABL2,2992,4339,2399,6895,3478,6907,7664,3307,4890,5295,2968,2446,3791,2043,1934,3113,2364,2433,976,2149
ABLIM1,4561,4992,2823,2679,3813,15592,2990,17974,8303,16868,11398,18040,15529,15344,16366,17069,14962,14801,7022,20101
ABLIM2,130,281,56,202,197,296,127,356,150,76,426,123,154,107,331,167,96,259,197,230
ABLIM3,76,334,167,117,1673,298,246,156,135,391,4222,6040,3952,12339,5671,4528,5255,4678,2480,7028
ABR,1926,4965,2060,5238,5738,9977,1561,4232,3728,2272,7585,4033,5537,4091,5603,6462,4154,4618,5540,3067
ABT1,1759,2142,1304,2516,2035,2723,3945,3677,3757,1820,2043,601,1477,734,1574,1415,894,1169,1576,823
ABTB1,869,723,580,1372,258,740,203,1363,911,817,2209,1436,1569,1512,2382,1499,915,1350,1283,1605
ABTB2,1053,1225,471,2472,558,1472,2375,2256,2184,787,215,111,653,175,384,245,330,220,504,192
ACAA1,3048,2977,1802,1589,6176,4684,914,4381,8462,2462,6288,2561,3454,3952,5930,3536,2856,2966,5379,2990
ACAA2,2004,4001,846,4883,2132,3289,3548,8543,7624,7472,4949,9679,5553,11632,7549,4233,6041,4563,2852,8965
ACACA,3315,4272,2056,5544,51080,9910,4857,4948,6585,4278,6259,4654,7360,10576,5726,4814,5453,4437,4153,6080
ACACB,209,310,199,745,400,1108,534,1945,821,1527,3567,28744,8561,56826,15405,8509,19395,9396,1903,29725
ACAD10,975,768,531,985,4086,1424,777,3621,933,520,1723,847,2173,1120,1477,1553,1192,1060,1497,1240
ACAD11,591,406,836,1674,551,1216,1719,1063,744,188,1620,1407,1667,3512,1596,1514,1786,1421,623,3159
ACAD8,491,1010,490,3669,4115,1731,584,2583,895,1070,2215,929,2387,1200,1602,1802,1113,1265,1704,896
ACAD9,2769,2845,1838,6602,2144,4321,2584,6434,1571,4877,2842,1788,2807,2818,3171,2070,2120,1899,2502,2561
ACADL,0,70,60,106,3938,6,717,20,68,8,107,726,247,1339,683,267,718,311,40,1336
ACADM,2692,2354,958,4725,15823,8863,1952,5557,3277,1369,3225,2489,4188,7297,3900,4216,3552,3220,2040,3936
ACADSB,685,860,626,1637,5975,2336,552,1668,1292,883,8794,1349,8007,3262,4244,8417,15516,7028,4678,2806
ACADS,113,795,267,511,203,773,64,1026,237,679,2597,3232,2098,4679,4376,2624,2204,1703,1564,3096
ACADVL,5528,8764,11115,8079,7406,14164,3478,10033,8175,6677,28167,14738,19204,16626,22284,16610,12387,13431,15748,15662
ACAN,343,360,1302,312,32,206,129,46,482,1800,194,28,36,168,19,39,104,34,12,12
ACAP1,544,427,66,28,142,681,75,1677,405,117,462,67,82,63,504,525,58,172,249,76
ACAP2,2997,3026,1275,2881,5355,12735,1862,2967,1752,2291,2833,3302,4490,3491,2753,4910,3501,3711,1399,3045
ACAP3,1491,1868,1629,1193,575,2113,537,1729,1179,1257,1582,751,1765,751,1553,1176,828,750,1286,843
ACAT1,1767,3040,748,1876,15811,6739,1925,4009,3526,6739,4373,5528,3447,10382,5887,4403,4291,4023,2107,7593
ACAT2,1162,2338,349,2045,950,4050,8028,4550,8667,3040,1363,366,895,571,846,999,525,739,1550,663
ACBD3,4479,5726,2763,4851,13471,8746,3566,5323,4018,1505,3304,2468,5236,2473,3056,4262,2882,3666,2014,2208
ACBD4,134,227,334,237,173,215,84,436,325,95,1138,454,896,620,1059,894,604,695,694,707
ACBD5,2373,1380,2322,2671,5166,4403,1453,1812,1381,3641,1959,1767,2616,2489,1807,2816,1746,1763,1172,2286
ACBD6,1160,2034,2136,4061,998,1564,3810,4061,3390,3176,1684,619,1266,677,1208,1106,840,815,1275,724
ACBD7,122,395,52,1121,28,645,918,2793,798,162,106,12,217,9,53,171,23,77,154,17
ACCN2,160,98,350,1596,39,369,477,186,237,59,411,301,1140,107,183,249,258,245,472,156
ACCS,278,154,381,337,481,460,792,540,587,356,1916,480,1158,662,1197,887,503,618,854,659
ACD,940,1034,710,834,893,1283,2279,2951,2064,558,1429,369,912,367,947,792,414,680,1174,405
ACE2,0,300,59,16,1856,1764,17,71,22,42,35,9,165,55,36,119,94,42,77,97
ACER2,65,45,35,130,764,264,86,182,83,67,303,501,691,866,325,520,490,405,114,686
ACER3,521,1034,358,576,1053,3232,2157,1198,1983,1627,938,1854,1295,3154,936,1200,1848,1104,459,1917
ACE,656,1249,1143,1393,1040,1852,516,1532,1337,240,1596,3571,1475,1470,3131,1433,2019,1884,1829,2125
ACHE,50,91,27,9,96,209,12,269,41,41,71,7,36,20,132,161,46,42,81,33
ACIN1,7196,6854,4956,15789,7035,9925,6959,11186,13277,3623,10638,5272,11634,5177,7492,9854,4839,7060,7397,4737
ACLY,9366,9695,2504,18434,23391,17112,8824,11842,15333,13174,10728,6068,9857,8256,8997,7775,6516,7898,38839,5269
ACN9,71,297,716,664,2158,833,2396,521,505,319,555,226,488,301,390,421,278,295,299,246
ACO1,1122,2261,555,2266,4324,4244,2022,4599,2331,1832,4252,14323,5440,29021,12597,4266,11292,6613,2376,23312
ACO2,5231,5002,2022,12761,9172,10534,4714,6996,15255,4701,8044,5505,7509,12790,10029,5402,7543,5340,7223,8890
ACOT11,86,127,91,1100,36,654,116,171,287,2123,154,54,154,29,111,102,87,66,111,16
ACOT13,1383,1460,4908,2244,4234,2999,4633,1982,5567,1612,1987,1600,1539,2244,1861,1363,1460,1361,1256,1857
ACOT1,730,473,1059,696,2056,724,1049,623,1491,1003,2119,2927,1534,6594,4233,1204,2836,2539,1410,3709
ACOT2,551,133,432,441,1459,730,522,531,928,402,1233,1805,839,4475,2468,666,1840,1350,918,2775
ACOT4,85,422,183,216,1861,281,492,236,202,194,641,307,465,800,723,336,429,390,416,612
ACOT7,2000,2105,1094,1717,346,5454,1649,4917,3284,2785,1454,685,885,387,935,454,719,493,1426,437
ACOT8,785,555,958,1552,837,482,924,2547,1144,930,927,383,657,419,674,514,360,392,869,360
ACOT9,638,3016,218,1172,1871,3480,2328,2662,9287,158,1310,1568,1000,1322,1577,1216,1186,1249,962,1351
ACOX1,2109,2937,1433,6621,9570,10726,4743,3746,4434,7326,4336,6453,6220,10659,7851,5095,6684,4742,2414,9182
ACOX2,15,128,40,15,3186,150,51,35,116,43,1047,690,593,1219,1061,632,688,575,669,1253
ACOX3,657,2098,331,1219,1359,2146,762,4370,1003,1779,2061,740,2821,916,2076,1970,1145,1123,2311,963
ACP1,3388,3442,2117,5756,6884,5710,8398,15356,9313,7614,3995,1851,3799,2037,2972,3622,2640,2605,3561,1968
ACP2,2172,4348,1252,4150,3386,5452,1790,5401,3725,2279,3740,3011,2352,2000,4109,2312,1756,1860,2732,2212
ACP5,5162,4317,587,451,8385,8074,488,7611,2183,2355,4161,4750,1814,539,6040,1941,1214,1098,2015,2058
ACP6,249,578,734,737,1368,1078,2068,2138,931,1794,646,221,998,425,1478,808,396,630,1147,315
ACPL2,450,2122,824,2401,1362,2270,2196,1479,849,753,1538,644,2371,401,917,1286,684,956,1082,520
ACRBP,37,58,11,44,37,216,35,94,30,7,78,110,65,70,88,76,22,48,18,99
ACRC,57,28,65,46,73,49,110,103,31,6,85,52,55,46,39,94,45,23,24,49
ACSF2,398,1458,213,1012,6912,1294,294,2582,1132,1348,5004,2109,2403,3620,4795,2706,2537,2239,3657,2980
ACSF3,945,808,591,1579,897,874,447,1940,1300,253,1488,518,1144,650,1019,804,418,740,1099,549
ACSL1,9364,4778,3588,13249,68977,7083,5632,1589,4407,7215,8445,55711,16963,159569,36164,18202,55793,20018,4577,80607
ACSL3,5137,6398,3919,25666,47048,8732,7357,11616,27912,4180,11390,4678,15150,5647,14762,8446,6006,6181,10126,3798
ACSL4,3402,4166,2476,927,2237,8104,3257,3695,3505,316,3316,7087,4097,5692,4187,3565,3910,3798,1261,5518
ACSL5,2828,2200,205,551,4423,5117,586,3286,561,5020,2702,2280,2229,2426,2745,3456,1501,2183,1347,1875
ACSM3,45,8,110,504,23953,62,221,402,14,795,588,10,517,20,1360,400,103,132,277,21
ACSM5,15,11,2,5,72,18,13,10,5,15,307,3075,460,3422,1030,516,1064,314,27,2670
ACSS1,1101,643,298,1456,7105,6233,1087,16787,2272,2771,3235,1086,2853,857,2640,3008,1317,1561,3152,665
ACSS2,459,1772,2051,4180,6384,1598,6047,6076,6068,7738,3484,10200,4967,16000,7884,3995,6064,4704,3647,13557
ACSS3,191,255,35,803,7173,442,1015,366,1031,126,775,2085,1213,3780,1402,1539,1582,896,340,3071
ACTA2,7714,45380,41712,9583,17130,10975,8349,6050,4842,3632,139041,9520,83370,36787,44591,62843,29538,54446,68870,6290
ACTB,226278,488440,415153,359792,238837,507551,528891,394306,413072,220852,258510,161162,230821,136131,275598,146743,130115,153179,235578,127351
ACTG1,165834,395489,82095,312005,92104,252841,179103,424024,268151,120293,176742,81216,187944,52840,160646,105028,84702,96594,203596,63192
ACTG2,1247,8339,5558,549,43,137,21162,395,1777,29,27544,419,20882,4825,11593,10057,9638,10860,13777,357
ACTL6A,5844,6916,2085,13572,4842,7269,14673,10410,9127,2345,2209,1121,2388,1099,1637,2377,1389,1764,2095,1125
ACTN1,21842,52147,9206,14686,14949,42231,27620,11962,51246,4880,33938,5864,26969,17873,20408,21617,14748,15465,25907,10965
ACTN4,36089,76323,19608,49603,18835,47403,32934,46992,91117,22855,34753,13750,33308,20844,29684,25107,21941,25683,32505,20265
ACTR10,2011,2537,1234,2060,5625,4301,4149,2936,2172,1604,4030,2249,3077,2399,3008,3087,2161,2658,2476,2123
ACTR1A,7407,6621,3948,15048,6909,10668,7950,11251,6688,9749,8050,6773,6359,7299,9820,5548,5592,5806,7379,7269
ACTR1B,1781,2915,1686,2227,2013,3827,1338,5815,5465,886,5431,2369,4299,2520,4253,3791,2511,2899,4672,2613
ACTR2,16994,19109,8156,14472,34787,40374,40197,22310,35267,12513,12348,14677,14709,13170,12085,15287,13975,11968,7729,11695
ACTR3B,834,550,2014,8390,346,2036,1319,3579,842,2093,858,109,1414,188,347,512,247,370,617,159
ACTR3C,75,48,159,175,350,145,452,814,143,120,139,46,142,60,68,159,61,80,94,50
ACTR3,15083,25234,7085,14295,17548,22491,30309,23400,22518,5988,8482,8070,8859,6141,7336,8499,5247,6664,6747,5434
ACTR5,955,562,627,999,992,431,1010,1514,1381,559,692,244,620,261,530,642,488,486,521,259
ACTR6,1620,1145,659,3532,4024,2642,3911,4021,3791,1685,1865,704,2131,935,1288,1874,1080,1347,1261,743
ACTR8,836,1131,483,811,2226,2535,928,1496,1668,587,1309,725,1839,1054,1075,1783,1209,1132,1052,896
ACVR1B,1226,1219,732,5222,4733,1514,1741,4484,1640,757,3400,1507,4251,1851,2693,3768,2910,2542,2840,1930
ACVR1C,30,184,2,15,218,78,219,71,42,68,182,5793,1393,12786,2024,2011,4932,2506,126,6838
ACVR1,1339,2985,782,1868,4338,5271,2199,4369,1159,609,3812,2948,3880,2440,2654,2969,1877,2641,2436,1949
ACVR2A,498,642,489,363,1892,1419,2351,954,527,504,1411,999,2346,1154,916,1779,1044,1231,1343,889
ACVR2B,1005,694,545,778,1117,1476,861,1846,2868,756,931,647,1377,636,612,2068,994,611,609,617
ACVRL1,954,1185,1510,912,675,1576,922,761,1038,293,2964,4674,2106,3390,4168,1735,2720,2718,1451,2457
ACY1,1823,1478,1571,629,2957,1650,1314,3213,2329,1163,2666,980,1979,1983,2521,1254,1251,1181,2705,1097
ACYP1,268,200,280,290,97,209,638,313,465,103,279,110,178,46,135,231,94,206,139,53
ACYP2,338,185,470,631,223,481,863,812,1121,147,524,418,612,551,585,405,342,506,466,523
ADAL,262,230,92,247,446,600,516,573,583,171,686,526,640,644,575,556,428,494,361,442
ADAM10,3106,3833,753,1363,7219,10398,2496,4008,3195,1131,4422,3419,7322,2500,2757,6178,4669,4050,2736,2160
ADAM12,3709,7314,1571,586,11822,10275,3131,969,1724,1102,2930,2183,13041,2245,2431,1210,1781,1090,2466,4273
ADAM15,16184,28680,10670,18453,24637,17778,7602,17604,11958,22526,8561,5971,6578,6903,12286,4959,5159,5736,9760,4526
ADAM17,1844,4853,399,2288,2711,6027,1860,5509,6862,2374,2205,1538,3456,1195,1493,2354,1987,1607,1434,1137
ADAM19,1493,3407,999,813,1271,3707,1148,1963,3650,311,312,351,531,358,605,699,324,244,225,233
ADAM22,20,23,36,34,142,188,163,408,145,3,95,160,201,387,83,259,163,165,21,748
ADAM23,34,62,21,16,104,167,20,22,44,3,91,206,198,67,159,158,121,106,37,90
ADAM28,341,305,53,81,678,698,141,1207,198,21,775,15,283,31,228,503,122,193,228,42
ADAM32,63,26,71,26,19,281,123,136,128,308,47,52,104,83,110,79,71,25,136,26
ADAM33,20,69,34,62,63,124,46,15,8,2,2610,1257,1603,811,1835,1383,859,1563,715,1062
ADAM6,95402,426745,15392,6522,263203,26752,25425,53952,82364,4182,230833,795,80913,2922,196197,95531,41612,207749,68291,3408
ADAM8,1152,2218,182,244,253,1490,201,3218,1301,142,370,62,111,49,600,362,88,71,222,181
ADAM9,8679,9664,2098,1086,56146,15403,3497,3322,5314,1254,5025,7919,5320,6361,4889,6643,6093,4121,3716,4358
ADAMDEC1,1513,552,11,64,209,3767,58,375,1050,12,36,3,5,7,129,332,25,30,65,6
ADAMTS10,155,162,1494,644,359,239,60,142,122,44,405,291,525,353,1116,349,481,352,306,752
ADAMTS12,377,2308,67,103,2639,2793,206,159,236,224,151,706,1904,1025,370,272,724,361,130,1293
ADAMTS13,138,30,282,100,42,86,22,184,55,47,408,49,401,62,126,274,97,103,203,56
ADAMTS14,240,221,301,147,163,652,115,139,238,35,123,257,153,6,14,12,16,19,42,11
ADAMTS15,17,37,6,14,7,91,113,92,61,11,1206,799,1770,1045,1143,1053,2476,386,788,1129
ADAMTS16,227,87,22,10,2154,1219,1658,108,69,0,309,1044,722,494,301,80,532,343,314,150
ADAMTS17,28,161,7,419,872,227,1085,385,321,9,283,107,146,30,126,85,206,81,320,52
ADAMTS18,3,6,19,2,192,61,846,169,3,3,76,411,430,535,182,155,482,349,281,247
ADAMTS1,1952,1557,1941,1297,658,5100,3961,3131,4820,448,11330,8404,19985,12072,11350,5853,8234,10763,4148,14083
ADAMTS2,1227,2679,292,120,2614,4841,393,370,1096,150,1787,3486,2709,1978,2254,805,1989,819,572,2708
ADAMTS3,69,238,67,48,200,547,462,829,240,27,322,158,433,276,173,167,172,492,88,316
ADAMTS4,9544,7682,2350,2792,542,4453,17940,387,1717,288,743,466,2562,875,676,157,395,576,580,803
ADAMTS5,1060,307,1004,418,1330,1694,1170,1282,2207,69,4413,16317,8414,6701,5068,4216,6611,5288,2124,5218
ADAMTS6,90,234,52,32,182,270,191,128,54,7,112,228,83,66,66,61,92,61,12,106
ADAMTS7,287,724,819,672,330,1237,248,306,266,412,219,380,575,329,578,108,160,88,234,343
ADAMTS8,3,11,17,12,5,37,85,476,65,22,1551,27,1129,57,127,81,113,52,547,23
ADAMTS9,864,361,1059,763,508,1576,1713,505,931,194,2370,1521,3452,2365,1456,1423,1913,1708,2078,1385
ADAMTSL1,193,72,136,117,227,392,815,98,63,96,488,1336,978,455,467,460,533,486,142,460
ADAMTSL2,293,257,347,174,747,488,81,105,122,160,216,123,153,301,193,119,126,92,82,114
ADAMTSL3,226,304,41,47,272,1982,299,237,653,37,227,1605,782,1760,395,484,1125,538,108,759
ADAMTSL4,698,4307,340,100,189,1307,211,269,1175,453,1712,4629,1417,2494,3110,931,2030,1481,360,2987
ADAMTSL5,11,133,137,303,96,14,11,21,13,37,322,102,299,29,158,88,129,143,173,35
ADAP1,182,474,53,45,84,1622,29,559,1105,41,663,324,412,97,529,383,308,206,423,220
ADAP2,845,844,213,374,976,1731,326,1189,413,260,1062,1659,427,620,1138,855,329,475,364,859
ADARB1,1449,1419,703,1104,1299,2960,2984,1604,4468,853,2468,1531,2463,3357,2318,3027,2510,1821,1406,1649
ADAR,51757,69458,8067,35024,29796,89013,39725,54493,25861,24222,21675,10664,20815,10601,14825,31562,13732,13966,13501,9550
ADAT1,580,466,367,711,2936,1992,625,1038,1552,206,912,677,947,582,545,872,914,519,356,721
ADAT2,714,226,582,562,146,390,1327,810,687,246,455,257,539,196,303,608,266,321,276,176
ADAT3,16,176,478,95,10,76,67,238,36,183,163,28,157,36,131,51,30,50,116,23
ADA,587,567,594,456,188,549,1271,2482,854,416,300,512,247,328,379,246,184,302,233,401
ADCK1,312,343,292,333,1446,926,1130,516,804,288,567,422,524,341,740,429,299,324,569,379
ADCK2,1247,2399,755,3421,3698,5127,1024,5779,4831,2488,2802,1087,2469,1357,2574,1788,1178,1373,2600,957
ADCK4,1084,1274,423,1317,636,1196,1217,3426,1499,914,1887,606,1651,671,1513,1091,871,947,2144,774
ADCK5,269,403,1075,1649,229,174,58,712,370,475,427,104,264,129,285,220,191,111,410,105
ADCY1,374,138,301,922,229,723,1039,304,299,590,2207,413,4238,443,1390,1814,541,6279,306,248
ADCY2,58,1398,320,1246,751,1214,51,307,79,76,224,165,179,126,424,261,118,154,327,146
ADCY3,2407,5945,977,2488,825,7055,1667,4757,5928,1594,5021,4623,3989,3187,3725,3226,3030,3123,2877,2870
ADCY4,164,280,278,436,88,281,365,167,117,92,1173,1120,957,1569,1718,1167,1185,1737,526,1214
ADCY5,9,7,10,5,24,49,28,22,10,8,1228,1166,1063,2004,1854,828,1475,888,690,1473
ADCY6,1323,2479,1042,8774,3661,2276,586,5707,2081,1959,5498,5924,9467,13071,7320,8130,6829,5353,4957,11421
ADCY7,2033,1998,1342,502,2717,5598,2814,3920,3527,558,1185,2673,1289,1435,1466,1534,1456,843,574,2403
ADCY9,1388,1739,689,480,4136,1821,789,506,910,260,2982,1833,2707,1615,1981,2418,2269,2290,1359,1223
ADC,496,200,226,635,248,703,119,458,503,93,500,104,366,108,352,565,177,328,395,83
ADD1,7958,10526,4333,8025,9491,17210,5000,19217,8374,5391,18012,15658,19339,19608,19472,18289,15663,15086,13303,19644
ADD2,18,98,91,34,78,1227,2194,2284,1931,40,149,149,125,185,133,193,92,160,49,93
