Sample,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
EEF1A1,135023,115582,90739,210951,174585,207827,271227,1092797,532020,232437,502115,220493,529832,257292,381499,330900,262863,321868,405112,219098
ACTB,226278,488440,415153,359792,238837,507551,528891,394306,413072,220852,258510,161162,230821,136131,275598,146743,130115,153179,235578,127351
GAPDH,118341,284058,136837,145268,59038,278680,607135,828196,568080,133690,116865,43546,87780,32553,83227,56437,45380,59760,142501,36778
MGP,5174,82701,70215,102460,6725,1095865,58394,143837,13892,4248,651453,35116,275959,23415,211734,209585,108639,283082,283880,30348
TPT1,47980,71978,82188,65590,233371,65861,153520,878792,183876,133240,246500,151356,234455,174344,207416,134227,111405,162016,194467,144666
ACTG1,165834,395489,82095,312005,92104,252841,179103,424024,268151,120293,176742,81216,187944,52840,160646,105028,84702,96594,203596,63192
FTL,77066,175169,47387,53616,1035684,145452,77669,163907,79630,65537,105495,341916,58466,147853,215611,72848,96268,74030,58046,274067
AHNAK,36640,73361,9098,6614,122861,53204,9035,32483,44335,34433,143630,275994,267042,481567,232889,241701,354990,232811,67737,472337
COL1A1,223191,285039,118085,37460,389519,462858,72081,39217,129322,35538,166379,285046,328049,38070,61922,29169,76828,26854,88560,35185
COL3A1,149512,165758,53686,21208,379100,373068,79498,36568,134366,25905,125694,386543,412299,74302,71834,53329,106042,45498,78172,85835
FN1,160608,915840,68998,59111,356513,354004,110341,63207,180615,21187,32066,140612,61321,36963,54459,15227,36340,29675,7507,37531
SPARC,120816,94426,134839,34328,243550,187075,62709,105721,134638,24474,87050,168515,121507,238450,177066,61446,175781,95976,44595,334124
FTH1,52920,212509,50051,61281,519186,139713,74828,176762,133117,47011,135637,144440,80093,89570,177417,89955,89265,78590,126264,152069
EEF2,51822,70397,64019,87537,34332,65019,60812,251290,200337,80337,217108,92118,278551,132962,179352,122943,114216,115998,246655,100686
COL1A2,170305,187133,64090,24523,395923,334630,61485,32677,81695,26118,139206,267880,227766,68394,107526,47537,105853,51661,52096,71025
PABPC1,90349,120836,60576,265879,204055,170678,308641,233477,143502,208267,75815,38442,108424,42803,53960,57873,54570,44950,67218,40982
B2M,140700,243307,41877,26516,86477,365316,80300,279316,75397,16249,119211,102968,62002,76169,117814,182588,78868,111706,48908,100542
RPS6,55740,37762,164515,104371,39867,46535,134203,645107,113335,151960,148127,44781,136459,47777,84805,84097,51408,77833,133000,41022
GNAS,68083,88696,445889,218421,130162,118311,323511,162375,102016,47449,77146,44622,63567,50714,63534,50409,46979,46385,64445,47478
VIM,45878,124941,43647,21076,38164,95322,60337,56845,65390,12509,138698,242482,90733,245833,237404,93721,120460,138189,67540,260305
RPS4X,41407,48349,90734,62130,66114,43773,180450,253561,163312,118370,189443,52698,158091,52558,117421,105796,68385,102337,169381,46606
UBC,75435,99409,48207,167997,117788,106245,87511,121179,208218,54025,133986,67781,107422,107483,130113,97830,98175,101126,71111,120260
HSP90AA1,128467,102256,42025,91433,249468,232850,271434,102974,278312,60261,71468,31947,82844,48555,49425,66286,51931,44889,54697,48253
RPL3,44957,42912,39034,99766,37120,52496,39812,265677,166999,76457,199719,46141,196162,46549,130314,113535,71822,104032,231552,41544
RPS18,38236,54832,124136,63205,35902,54139,157743,437263,154943,122224,114000,33257,134192,40930,89406,77388,49251,49440,123045,35598
APOD,464,836,298,2721,1328510,3642,30856,744,8477,260,38348,26434,41432,26641,233122,34052,23723,36381,74319,28366
PSAP,68516,94437,47557,82847,227015,261499,14112,113277,73260,43447,110187,114101,79936,74845,128505,89745,68099,70946,77541,93483
ADAM6,95402,426745,15392,6522,263203,26752,25425,53952,82364,4182,230833,795,80913,2922,196197,95531,41612,207749,68291,3408
HSP90AB1,129539,113327,29027,122787,104085,246855,102337,162709,240027,80100,82237,36574,83629,47660,60984,58915,53740,51567,77005,39244
CD74,110216,145282,24684,23257,68441,210893,39282,385505,57261,26642,139103,50584,36126,46761,109629,104418,46362,56157,82628,78496
HLA-B,101194,346487,61372,16173,25065,335990,40648,235142,70848,11461,76424,42443,37598,29402,75396,83910,31133,58686,55442,46224
RPL4,56942,41317,58970,85186,37968,49282,148751,187435,208999,67125,116634,48201,119223,56314,80253,67665,50992,66315,105368,50584
RPL8,32671,35137,205730,149502,53059,35738,26669,277276,149625,107257,97332,29334,82278,23970,68576,51953,43212,49800,122997,27232
SCD,8310,32144,1783,3187,307217,9569,52197,17220,59153,180806,16261,23287,66605,180108,143897,14724,310974,84710,23910,69491
A2M,17261,27934,24961,17794,24161,94014,386443,124255,46466,11949,126624,81222,86328,64860,86768,74110,61028,82893,72411,87792
GSN,15111,19359,14848,10491,9131,32385,10384,19709,88108,10909,78402,189758,75758,179385,224835,73174,99529,111844,58969,262695
PLIN4,99,662,852,189,813,354,923,141,100,1665,18139,154080,63692,403591,287331,40335,135020,83114,4999,378445
AZGP1,20748,1689,202307,236713,243191,1649,4334,15839,6930,43572,234107,5284,101515,8947,86538,127548,19236,70682,100304,5320
RPLP0,65153,59090,38991,94909,53734,46184,109277,310624,94354,67241,92239,34318,100174,28026,60180,56823,37494,47207,112353,26867
TUBB,73093,106347,55813,175161,35657,124247,192682,131544,228846,61014,38288,35460,36365,30816,37045,29161,29829,24678,52383,27112
RPS3,27454,41723,30089,54405,30064,55827,60603,338960,144954,154597,94448,25733,83909,22687,67052,57061,34406,48300,115464,21763
CLU,6145,58092,12094,4402,315639,226270,2512,76151,3449,2565,99782,49825,49637,44310,165271,73604,49306,60803,104748,77327
MYH9,84535,157426,32441,94612,44438,97231,54046,12625,77488,28026,122198,50732,97364,68560,87341,81436,63187,86434,84894,46173
HSPA8,52197,84459,7398,52372,152740,177986,59140,169424,154965,54496,78321,40177,63111,49711,52355,49261,35945,30795,61111,39234
APP,37028,62949,55269,19712,50482,232847,64465,55726,158505,26528,97324,31516,126745,29315,57093,96566,53303,68047,113355,22066
RPS11,37900,51881,62538,87033,39752,36423,92456,210609,98233,78267,97636,36011,81852,40618,74508,62325,36952,59757,85841,40013
YWHAZ,73593,103940,73233,194195,139084,136513,124105,72333,91641,51834,37136,23589,41718,37691,31021,34016,48859,30922,26061,26582
RPS20,33062,39272,236733,42009,50672,39009,124364,209380,69286,49565,62298,39009,42093,51508,58776,40985,34406,41751,59228,49373
RPL5,29692,39623,39757,54501,28750,51027,99736,269916,99866,55240,101368,30235,92034,34114,61522,60546,37430,58629,86007,32244
RPLP1,35085,50912,69292,82736,35763,42221,112170,211851,116494,70632,105256,24776,66220,24678,73001,44369,26270,46482,87601,28889
RPS8,31140,34512,51440,96892,23039,36086,66642,254969,108707,90183,100021,29710,89356,27516,60448,53840,32819,49245,86222,25372
RPS24,24200,26736,83291,60599,37222,38972,67329,362867,52808,87826,85326,28051,72483,26911,55618,49808,30502,48485,70450,34348
TMSL3,45563,131925,68398,30193,45830,120171,57344,94595,40243,27974,95760,89807,45238,45538,106988,71406,48228,66327,47754,64003
GNB2L1,26367,37888,30178,50583,41024,59162,62881,234029,73421,49568,110541,33451,116084,34337,75390,60111,41418,53732,114630,32509
DCN,19996,12895,3330,2748,78949,40459,11034,6449,12526,2075,115660,172250,95534,76950,150184,113716,125882,136621,30256,127202
EEF1G,15872,37664,37788,49255,41894,41536,27465,274578,121666,76254,93757,27351,94501,29081,70032,54040,44926,54150,88352,28961
ENO1,122509,131663,16934,38131,26774,132958,61478,139075,149111,51195,51912,28451,41979,30441,48158,34353,30688,33550,82312,29766
TXNIP,10723,21208,5756,26989,50683,25778,7826,21019,8449,22317,111913,138149,57671,98141,138043,110841,125691,116549,20294,163212
FLNA,74271,156376,16281,17871,22919,57205,13649,67882,84679,11843,86801,48488,76619,102440,81243,57577,60879,61120,54995,56611
HSP90B1,66662,82113,35129,98808,80761,115976,103358,131532,91008,28492,57472,32117,51199,26590,35998,40262,28997,37340,35339,27695
RPL19,27525,31399,282818,65500,34684,30971,37115,121645,72342,44466,70841,25933,63393,26574,57089,41847,26706,39078,72005,26414
RPL13,24526,24701,111289,36035,20380,21832,46972,263245,74576,65984,93624,23076,78778,23734,65562,42829,23471,39801,93011,19710
P4HB,36069,144862,24277,133325,79083,132026,40187,109021,70243,32766,55313,29072,43950,25588,55305,27770,25721,29553,50245,24667
EIF4G2,55583,60652,12142,85634,113476,98438,62668,90989,102499,33400,52221,37095,62488,49584,42047,48395,41104,38434,36450,44305
RPL30,31318,45304,111100,69111,53644,49207,122449,208402,70409,57912,49281,19317,41894,23401,39920,36238,24956,31905,54831,21841
CSDE1,31766,54095,14196,47839,89445,100677,65776,84485,78790,38984,45598,43063,63444,81526,49891,55494,52240,44467,29760,84605
PKM2,47891,106730,17901,49121,25910,78726,108931,100911,251474,27899,60128,24074,31619,10497,44985,36642,23541,32807,56621,13503
TUBA1B,48568,69661,31345,254701,46628,58732,55502,144760,102558,27781,36911,35198,27114,20131,38264,24277,26125,23318,51911,19325
TMSB10,55567,82244,92265,102768,35938,64314,72019,166133,69771,75321,53344,30362,25099,18516,50134,24303,17835,24389,50647,25128
ALDOA,37161,101810,38019,39205,59605,47060,48041,99582,176102,35062,71878,24603,34202,42021,65434,28884,47924,32029,69825,31567
RPS12,46986,28809,24631,29231,30777,63566,54968,281180,103390,60569,67692,25231,55607,23410,46981,40297,23771,37227,63565,18592
PTMA,64650,58273,90214,144373,21650,28776,68868,174914,102371,33975,51879,19029,41947,22835,36552,43607,25540,30192,35057,19135
IGF2,1564,2037,1412,2298,2106,2021,1925,295,636,957096,13494,7823,27635,24772,11832,9412,17435,13784,7876,7272
HLA-A,65699,193659,35075,19483,8162,184991,34470,156544,50413,7588,40967,26250,25964,17018,56377,48125,20301,31990,31650,25947
ATP1A1,26530,59536,9635,237494,84802,145018,60139,56572,51106,23259,59448,13099,53556,10878,33644,42868,24030,29799,45991,10068
RPL15,25806,25791,55836,22709,36521,38787,47670,88332,134287,38092,86376,33673,79740,35565,58600,62669,41204,50686,73945,32692
CD24,171888,86880,39927,92123,93762,87914,38951,87146,44249,58014,45489,1614,47868,1552,18205,44648,25790,16832,51966,1115
HLA-C,74416,230864,21455,11055,16526,173154,11972,106346,66966,7128,44901,21451,29372,16730,48363,53716,19193,25805,46641,19523
LOC96610,98818,392102,11909,6187,82152,25270,26199,35242,63586,3043,80951,1335,21397,2260,57957,33998,11813,71103,15372,3489
FASN,9431,34459,4523,22355,312236,29903,9158,18303,36962,39212,64053,37944,39151,172920,42574,16026,52440,10722,47975,30048
CALR,43940,105545,57443,121163,54603,82653,60058,91552,62929,46587,52371,22014,35947,18703,38980,24902,22906,29058,35539,22664
CTSB,74336,89833,18026,25325,92332,90994,16090,88052,49419,30295,53479,114738,34086,38845,62414,30677,28419,22022,28314,40388
CTSD,50619,83032,31398,38449,90972,83855,7434,56782,139082,55760,80077,65137,23776,21360,65063,23388,18458,19004,43506,26975
TMBIM6,18894,41405,17926,77360,168330,43664,30371,61626,28260,22284,64249,31707,61700,43161,67205,61255,47323,42602,48797,39146
GLUL,21202,28714,8884,44419,104903,38347,14933,52995,21824,32680,73554,120542,36670,96864,54064,44978,76843,32898,31576,63747
ANXA2,52424,111167,11199,8686,38746,73055,24552,50376,103051,12461,56303,57084,33096,57132,73928,32571,44472,38968,43158,76183
CANX,28259,48065,30288,66211,87989,154224,36159,93894,44576,27413,41319,27866,57607,30631,37860,44885,38382,39458,32108,28214
RPL11,20719,31396,33668,23326,18741,33602,31019,118588,97912,50947,85527,33915,67547,33133,60031,57816,30766,50375,70289,41122
TIMP3,19594,34229,6854,14707,71355,31540,7124,5110,9775,2622,47769,85263,51010,155816,76336,49494,97684,67615,16331,123097
CD59,25830,51304,16765,33127,34198,74083,30121,98300,73538,12895,94045,32920,65497,33888,53526,67818,43563,46740,48391,32030
RPL32,18591,31956,32855,22045,36270,39832,59975,100514,92174,41636,81487,26765,65046,29883,57402,47434,27840,44793,74557,28030
RPL13A,32157,22847,25056,33041,23479,20030,33387,145828,75536,59978,93275,19265,80180,17580,58266,39132,22712,35003,98708,19067
TAGLN2,133987,171711,32513,67477,34124,45984,45200,95951,53893,37275,33717,23460,20115,12752,33542,16879,19834,21118,34970,15703
RPS2,33371,45020,74755,42821,21744,25386,88853,182815,78307,50644,53194,15643,50412,10427,35144,23975,21387,22536,57435,10532
RPL10,39107,31237,22832,37009,45982,20525,46693,149270,57537,45521,67180,27607,62444,26649,54707,42591,27995,41994,67389,25959
ITGB1,22858,48952,30851,41139,47560,75829,33144,41296,30824,8504,37731,55162,59458,91334,40941,43359,51860,41754,21352,89798
TNS1,3313,7275,3103,5282,7523,12244,2949,4015,2586,1612,19612,97313,38754,239539,74638,41117,91695,47948,8591,199689
PTPRF,24485,54881,6175,130495,30637,60746,17072,76459,127117,30824,33540,18984,54962,45126,34645,42045,27740,20642,40985,27845
RPS14,13970,15433,31381,39264,14647,15944,32280,182100,89138,37075,66216,25332,55599,26149,51154,43911,25665,41777,68225,21797
SFRP1,7286,37107,30928,83967,529,138922,24801,54588,38872,92,59804,8114,126812,18625,29901,67806,31599,39174,60055,36397
RPL41,16781,26746,17950,38925,32452,17057,26548,159149,40166,32583,83719,27593,65507,26003,58106,53466,24926,44207,74863,24106
RPL27A,29611,22375,44592,51200,16674,22545,32843,193222,80924,66230,57822,18428,44879,18793,46413,28419,19891,31746,41568,18484
NACA,17080,27772,31380,59774,28946,20756,38821,140018,36795,37439,73299,26411,67165,31420,45903,44817,29444,42835,54899,29656
APLP2,12608,45347,13140,58099,156826,63431,16170,69063,28496,7578,55746,35869,54972,29096,47083,54649,33980,35426,35680,30711
CFL1,33581,72515,29823,84464,41590,76540,36279,95816,90624,35648,44550,24004,25751,19014,39767,22189,19252,20677,45636,18408
RPS19,36263,40890,56277,47813,21561,36592,52462,143747,47654,76648,61430,10658,53947,8735,35824,27703,12700,22272,72790,8244
LRP1,10748,14589,3830,5892,23420,29907,4139,6901,8813,1716,40627,121343,52742,140455,96884,33725,67556,39320,17964,149354
ADIPOQ,104,520,81,4,1475,18,5525,132,65,31,4149,100536,18252,255606,62088,36081,101812,39513,1815,237678
RPS17,10978,19406,27637,28452,12931,20742,96913,187399,91900,37749,56810,19172,43060,19756,36919,34468,19795,36230,45441,17763
HNRNPA2B1,44171,46996,36312,109925,37230,51523,62040,79414,84732,26908,46132,20028,35185,19790,30255,37672,21837,25825,27957,18959
CD36,823,733,843,122,3123,764,6156,803,288,1604,16128,101687,44832,232681,108007,45334,120253,61517,3547,112224
DSP,62621,98629,15058,49152,81487,63202,57546,30385,98577,24400,49448,624,60356,2838,18070,46415,42399,30430,27288,1316
RPL31,19833,24197,54129,22858,13694,16532,54549,175128,66675,31058,72861,20193,49319,21657,38982,41860,25157,41108,49423,17221
TPM4,28287,70751,32257,77472,33678,42919,101699,96454,53636,11277,44584,26647,45021,19753,28440,33024,28322,28587,33458,17686
FABP4,186,858,429,95,1331,42,4805,399,128,35,17600,130108,25719,218515,120450,30459,69520,50670,3866,177021
RPL37A,13430,16799,41462,42043,21896,23746,58045,153646,69847,42355,61000,21613,50625,24182,40902,32085,19796,31560,72085,11977
IGFBP5,8973,84992,11068,10299,34063,82239,9711,58755,13080,8543,29024,72631,36282,56438,55922,54315,57155,55386,28712,80027
C3,22987,14270,1339,1992,22819,44247,6424,64688,32116,3699,110936,98563,35073,50780,110337,52924,55500,52521,13843,52155
MUCL1,489,0,1318,151,473774,15,136,49,1,3024,32808,24,10575,0,122998,38577,8775,134463,18936,11
SPTBN1,13699,14073,6419,15165,6908,31620,26115,14543,34212,7954,29097,75508,53617,115438,62201,41195,66375,52144,14869,163870
NCL,59972,39345,16003,69463,30273,39181,42102,89579,134289,21925,44483,18840,37817,22337,29984,32175,24134,24995,37701,20609
RPLP2,15716,20553,48125,57192,13652,21480,28106,160021,69459,67576,37961,29024,34147,33596,47939,23433,22564,27551,39684,32477
S100A11,40157,184923,68344,45559,49196,53229,115185,38102,24883,72630,21809,13848,9576,7537,20979,11803,9987,8935,16676,12395
COL6A3,32634,55991,19013,8840,91723,114773,24204,10243,23258,8546,50455,77666,63471,38685,42851,22933,38375,29367,15056,52406
HSPA5,51807,70851,22504,46414,40151,116911,30996,55282,63362,32663,55243,19760,34752,16237,31887,24615,21038,26538,33209,15945
XBP1,6815,22156,4596,19399,101632,20486,14047,12192,12021,6319,142510,4509,72909,5475,69069,78442,66525,54524,88173,4859
FSTL1,14193,29293,7740,4290,33724,34636,14310,12178,13660,3629,47502,194306,60640,57710,56996,26814,63471,38903,14899,75662
MYL6,24126,64338,26750,36444,21379,19344,13195,73413,29532,19614,63920,40002,37997,57825,61676,38665,35196,38940,44178,56267
KRT5,27348,129107,83,2131,352,20577,3210,167463,24130,3737,133162,3827,53139,6360,46344,43417,40404,46425,45681,4361
RPL7A,18575,23868,33726,20817,19214,31957,24913,100333,43115,37654,75598,24614,67594,23916,51406,40518,27422,40135,65296,22267
HDLBP,35324,39824,11159,23814,77366,39415,23897,90164,46416,29337,41375,32385,55839,41640,40679,34072,28804,28964,30952,39880
RPS9,28152,19677,23334,41020,10888,15588,14222,164761,65675,25629,61566,17734,57288,17779,47548,28024,18203,30474,86453,13233
LDHA,36764,65810,10794,23314,44493,30018,49211,99021,127061,11427,33584,30324,20690,37563,31784,20457,29187,24353,23036,30993
H3F3B,33546,32501,16618,123000,24247,42677,44355,66046,48057,17543,40614,14389,53273,16138,31178,42161,24807,39161,37404,15358
KRT19,43350,87975,116064,17678,26532,31748,4120,86097,55696,28425,66810,1005,25858,1345,28896,24282,23394,13156,74385,1411
HSPA1A,124980,67793,13683,52123,19432,30631,2300,39400,104519,39299,39402,14649,26166,31191,32139,35156,17266,19915,32443,14777
RPL23,8843,14748,121464,27901,17332,23781,30088,82971,33140,36333,50015,22522,44839,32200,46735,30556,21382,39476,48332,23241
RPL18,20054,28611,54100,35822,18734,16939,37768,96357,57576,78136,55153,12101,46822,12001,40724,25601,15122,23332,68524,11328
HLA-DRA,48325,63228,6462,7789,40618,90914,15054,144920,25953,11197,46105,23368,13940,19993,35916,49262,21063,20818,27275,37548
RPS15A,8885,30646,34657,25284,25741,19902,71940,165970,25831,26136,57158,18098,42119,19440,35159,31066,19366,29336,42970,19145
RPL37,9010,12171,92679,33623,22240,16949,74720,114020,29764,40773,54161,16394,41612,15886,34687,28417,15194,26054,54042,16167
UBB,29210,40627,27536,53579,62168,43063,26348,63236,54035,18426,47079,25696,35455,29151,39053,33159,30138,28899,33305,25474
COL6A2,51653,73668,33321,14404,18367,41404,7191,13478,19884,13506,49026,57343,47874,34990,100904,25322,36942,26640,26989,48864
HNRNPK,32342,36086,18576,64485,42280,58108,44988,70488,64628,19261,39243,19876,36984,22008,29403,36644,26522,28371,28830,22371
CD81,18842,24118,15510,43979,47488,43474,16761,46958,57677,13215,48574,36625,32731,46457,57246,30299,29967,30149,38153,45889
TAGLN,9919,71780,34591,7010,12614,9925,5642,9295,7655,2605,115715,14702,54806,66787,65617,47281,37660,49294,75472,17535
IGFBP4,13862,21542,17881,10142,16372,23219,12742,21169,5280,4059,147421,46325,57307,22315,62339,46791,49337,54176,55754,25129
RPS27A,18886,16880,15319,25745,13803,25501,56767,115395,82664,43228,52945,14972,43265,13541,35499,32267,17778,33345,40068,15137
ADH1B,46,983,38,2,1067,15,3353,485,24,33,12010,177387,20796,204047,40817,41293,58440,26593,1615,123844
RPL10A,17640,17503,13637,24922,18114,19248,32547,124392,66061,26468,61796,17104,51613,14840,34804,37615,19921,34026,62561,15012
RPS23,18491,17529,23674,24044,18199,13975,44985,75529,48031,36990,61160,25300,56816,25659,42076,37292,27919,33988,54447,21416
CTNNB1,18907,31946,6379,18075,32479,59798,26820,57024,173605,6130,45133,13180,53155,15365,22811,33970,20099,27530,30100,13101
SERPINA3,5315,21950,3130,6820,1258,56684,82538,12513,123664,493,162961,1402,56595,788,22914,18688,35607,16204,71770,683
PTRF,11764,22940,6577,18390,8959,12952,6396,4677,13900,3234,44440,59031,44245,85230,94151,35501,48284,53573,25748,101200
COL4A2,16135,35933,26807,16884,7398,78644,27514,71377,21737,11043,29945,42773,38799,72854,51566,18527,34146,20371,18047,60207
ACTN4,36089,76323,19608,49603,18835,47403,32934,46992,91117,22855,34753,13750,33308,20844,29684,25107,21941,25683,32505,20265
GABRP,31877,40853,9522,55053,7,19839,70362,307637,37270,3857,15246,26,48413,850,5771,16951,7585,8228,19711,405
LPL,798,639,3789,815,1392,1253,19046,2244,2166,132,4801,60365,20162,234936,44269,38525,95511,37483,5425,123621
PLIN1,37,379,63,8,679,24,1248,122,20,717,5490,78684,21539,186560,74020,27979,71753,42425,2914,181528
YWHAE,23003,36807,20492,40225,30391,57119,55893,102156,43147,21341,36503,19826,29486,24667,29126,28188,23916,24399,25939,23398
LDHB,18160,11486,9956,30720,2917,41770,48633,225330,72542,14346,23499,17775,22987,31327,23564,14560,17408,15269,19899,31367
ACTA2,7714,45380,41712,9583,17130,10975,8349,6050,4842,3632,139041,9520,83370,36787,44591,62843,29538,54446,68870,6290
RPS16,31389,30304,32804,30152,22141,27253,47772,100464,35673,58805,42168,17081,33937,18481,36017,21651,14932,23112,48497,16063
CALM2,27601,22172,34458,46063,33655,49370,73140,66339,58618,28711,34813,18324,28335,22907,26689,25577,21583,25047,21466,16298
C1S,21039,35521,2244,2773,40191,56228,10468,145440,14829,1873,49554,52058,19080,26848,49176,34457,29799,29886,9469,39288
EIF1,22604,25539,40388,38281,32769,31360,34772,30694,33934,19133,42508,32090,34549,41590,40354,30763,25187,28984,50796,33137
LAMP1,11384,21214,7642,83353,60010,143902,18102,63501,18452,23076,32344,21284,23678,16784,30629,21325,17260,18914,18978,17488
ARF1,32744,54746,55472,99487,56725,35483,36075,61414,26459,21862,29333,12811,21601,14320,26846,17676,13824,16594,21273,14250
RPL28,22058,26276,43804,31379,13200,14775,40825,154166,50352,49698,33859,11344,29751,9063,30128,15599,10836,13518,57134,8331
PFN1,40780,52065,32899,36230,26139,46896,39493,138506,53813,20900,30054,16541,16057,12016,26556,14785,13123,13103,23711,12334
NPM1,29362,24896,49092,45806,22380,25800,59378,129235,50396,19724,36578,12489,35107,12564,20126,20528,16058,19781,25020,11358
RPL35A,17404,22263,21339,45044,11779,29863,28545,142337,24075,32845,45021,15061,42265,17915,29680,30123,17857,31111,41954,18640
RPL26,9065,22340,25613,14033,21951,22801,26166,95903,30666,28548,70479,23375,41733,18811,34272,40898,28480,40842,48733,19602
CLTC,18510,33629,9312,41441,84433,74957,41136,36536,55697,15543,23908,25818,30506,25991,22817,24807,25057,20878,29080,24172
HNRNPU,27472,41684,21596,74302,34076,40317,62037,48695,62397,20638,32385,14329,35081,17553,24309,27910,18215,21042,24066,15274
RPS25,11741,22047,22415,30894,19348,18494,27317,149939,24888,30998,49604,18657,39867,22582,34881,31704,16272,30787,33169,25589
RPS5,10304,22298,8337,13303,24525,15170,29202,189507,73073,14659,38869,12081,46952,12956,30379,23694,16883,22716,45683,10270
COL4A1,19242,23790,39598,14180,12313,61607,48967,33047,21221,11143,18599,53018,28143,75354,49092,15210,34566,19558,7319,65639
RHOA,23491,40132,12188,18815,46694,49106,31401,38319,38282,12232,34772,40810,29116,40467,42986,28337,30344,28160,28130,36868
RPL12,21281,32360,32363,18864,13042,22156,35229,80731,46240,32299,56834,15521,49165,13159,33894,32248,20683,29859,50339,13886
SRRM2,28504,29290,18319,45183,40640,48670,39669,40450,38694,11335,26083,19603,60610,28592,23186,41874,31170,25403,22225,22088
DDX5,27014,23590,9852,49834,31649,30278,57780,47149,35492,9295,48428,16078,39815,19772,28889,32631,25281,31708,52398,23314
S100A6,29591,60214,6811,8662,6930,25376,32743,47681,90241,7317,31178,42719,19619,19346,69737,20176,21719,27373,30906,35957
PDIA3,25288,66442,26962,43248,35851,59945,49340,56529,31917,24321,36881,14937,25803,12303,25736,21163,16382,21264,22515,13630
HDGF,60460,74753,18503,63333,14003,27808,77684,89729,44067,42483,16506,7211,13556,7633,13040,13169,10107,9803,14128,7285
YBX1,34467,30489,22726,63343,9114,27889,73528,59416,83546,25421,19185,20862,18157,21732,22123,13576,14990,13771,17915,24651
MCL1,40203,40929,11569,23425,25029,53468,31043,44387,29290,22431,40995,20006,52841,23066,33094,21275,25452,32601,16766,28857
EGR1,4261,2979,3363,13714,1754,15663,30289,6439,6841,4410,20500,21408,154554,68613,49983,43187,30717,21405,45855,68809
NUCKS1,19577,23660,32009,73011,42126,31512,55712,62999,50308,13603,21465,15066,28390,18050,18754,29511,20619,22124,13587,16375
DYNC1H1,28217,28881,10685,19445,37470,85616,31056,17035,62319,10697,25237,23472,37954,32433,25939,28327,26202,22182,19435,33509
LTF,362,3961,242,821,1255,30588,2912,84987,1153,13730,79503,628,30934,2359,44390,76610,63476,21452,144005,1718
RPL6,13242,18304,26271,24516,18303,16274,51936,109044,30073,25788,47398,15799,41294,16356,28009,27291,18186,23345,36486,16963
TIMP2,15234,37615,6213,11831,36039,53510,9308,12120,12140,2745,35718,59343,30431,38435,48316,35432,39766,41249,11539,66569
EIF3CL,16426,33855,32738,39185,59203,26817,17990,53455,71184,20914,24479,15431,41139,22703,22851,20628,12300,19092,34556,18521
RPL24,16192,14694,32434,48070,12246,14572,45172,96835,45374,27571,41905,14917,32143,15167,29611,26637,15099,26141,34411,13901
ATP5A1,15922,22233,11070,22978,41753,54188,29529,56295,55565,29881,34669,17179,29198,28337,31631,25122,21520,21981,30951,21289
KRT15,10192,25266,61397,62636,121,17062,595,12826,11990,126,62641,938,170621,2220,34422,25452,23716,30128,47291,1395
LOC647979,23619,12402,13070,32019,49069,16979,25131,60070,43629,20807,29380,21119,40816,30575,28755,37519,38984,28757,17860,28366
CD63,14451,22359,31462,46813,32216,22628,13712,44025,22682,6800,47447,37906,23938,34396,51736,22725,24274,26595,35536,35302
ANXA5,17692,29267,16850,2398,21520,56001,26464,45337,37861,8546,25251,34401,21616,45841,51302,23105,35884,23606,13597,59554
ATP5B,22638,23620,7827,25468,42033,28769,21179,77385,42707,19402,31829,22147,29966,40793,30363,24963,26554,22426,27410,26356
RPL14,21645,15291,46475,16082,13554,20124,34070,65012,93204,25208,39559,12013,33271,12542,27942,25953,14430,21794,36842,14928
HSPD1,35830,29472,8978,27877,48837,33515,56927,72907,119899,19044,20467,9839,18875,12529,13629,12473,11369,10076,17684,8602
ADAR,51757,69458,8067,35024,29796,89013,39725,54493,25861,24222,21675,10664,20815,10601,14825,31562,13732,13966,13501,9550
MSN,52712,49289,16998,11782,17037,80078,34578,26316,38164,5659,22801,28989,20206,31584,31990,22595,25059,24766,15659,31211
TPI1,17097,42277,11724,24846,13755,50027,49629,184077,53547,20806,17102,9828,11821,10126,14779,11612,9438,9610,16235,8783
C4A,3479,10285,1554,2436,14931,74722,2487,10199,1712,1503,128133,4168,24619,2957,65764,46024,30257,40597,117908,1887
ITM2B,10542,16315,14119,7044,62731,28061,15654,22464,12029,8383,51141,35961,40254,41679,42027,49236,32556,38329,23930,32446
ACSL1,9364,4778,3588,13249,68977,7083,5632,1589,4407,7215,8445,55711,16963,159569,36164,18202,55793,20018,4577,80607
EIF4A1,31527,31230,16458,18717,39250,42691,36585,62242,45005,20682,39307,18304,31122,15331,25135,20187,19301,18254,29259,13866
LMNA,66893,62428,15992,25911,8279,18829,15024,20531,44332,35577,33227,19899,35904,21275,37249,17255,21330,23510,29876,20412
GPX3,755,3152,2428,10650,2263,4090,8133,1918,3979,828,19470,148197,20005,88435,85125,15137,36709,21691,4357,94810
ASPH,6241,11258,9928,11257,106056,24530,11341,10090,12345,3480,19503,30821,26239,66857,35295,21509,53668,30150,12711,68398
